planet_id,ecc
24 Sex b,0.09
24 Sex c,0.29
47 UMa b,0.032
47 UMa c,0.098
47 UMa d,0.16
55 Cnc b,0.0
55 Cnc c,0.03
55 Cnc d,0.13
55 Cnc e,0.05
55 Cnc f,0.08
61 Vir b,0.12
61 Vir c,0.14
61 Vir d,0.35
7 CMa b,0.06
7 CMa c,0.08
BD+20 2457 c,0.18
BD-08 2823 b,0.15
BD-08 2823 c,0.19
BD-11 4672 b,0.05
BD-11 4672 c,0.4
DMPP-1 b,0.0
DMPP-1 c,0.0
DMPP-1 d,0.0
DMPP-1 e,0.0
GJ 1061 b,0.0
GJ 1061 c,0.0
GJ 1061 d,0.0
GJ 1148 b,0.38
GJ 1148 c,0.342
GJ 163 b,0.073
GJ 163 c,0.099
GJ 163 d,0.373
GJ 180 b,0.07
GJ 180 c,0.09
GJ 180 d,0.14
GJ 3138 b,0.19
GJ 3138 c,0.11
GJ 3138 d,0.32
GJ 317 b,0.07
GJ 317 c,0.17
GJ 3293 b,0.06
GJ 3293 c,0.11
GJ 3293 d,0.12
GJ 3293 e,0.21
GJ 3998 b,0.0
GJ 3998 c,0.049
GJ 414 A b,0.45
GJ 414 A c,0.105
GJ 433 b,0.04
GJ 433 c,0.12
GJ 433 d,0.07
GJ 581 b,0.0
GJ 581 c,0.0
GJ 581 e,0.0
GJ 676 A b,0.33
GJ 676 A c,0.0
GJ 676 A d,0.262
GJ 676 A e,0.125
GJ 687 b,0.17
GJ 687 c,0.4
GJ 876 b,0.0324
GJ 876 c,0.25591
GJ 876 d,0.207
GJ 876 e,0.055
GJ 887 b,0.0
GJ 887 c,0.0
GJ 9066 b,0.18
GJ 9066 c,0.33
HD 10180 c,0.073
HD 10180 d,0.131
HD 10180 e,0.051
HD 10180 f,0.119
HD 10180 g,0.263
HD 10180 h,0.095
HD 102329 b,0.21
HD 102329 c,0.209
HD 108874 b,0.13
HD 108874 c,0.239
HD 109271 b,0.25
HD 109271 c,0.15
HD 113538 b,0.14
HD 113538 c,0.2
HD 114783 b,0.144
HD 114783 c,0.0
HD 116029 b,0.0
