planet_id,period
24 Sex b,452.8
24 Sex c,883.0
47 UMa b,1078.0
47 UMa c,2391.0
47 UMa d,14002.0
55 Cnc b,14.6516
55 Cnc c,44.3989
55 Cnc d,5574.2
55 Cnc e,0.7365474
55 Cnc f,259.88
61 Vir b,4.215
61 Vir c,38.021
61 Vir d,123.01
7 CMa b,735.1
7 CMa c,996.0
BD+20 2457 c,621.99
BD-08 2823 b,5.6
BD-08 2823 c,237.6
BD-11 4672 b,1634.0
BD-11 4672 c,74.2
DMPP-1 b,18.57
DMPP-1 c,6.584
DMPP-1 d,2.882
DMPP-1 e,5.516
GJ 1061 b,3.204
GJ 1061 c,6.689
GJ 1061 d,13.031
GJ 1148 b,41.38
GJ 1148 c,532.58
GJ 163 b,8.63182
GJ 163 c,25.63058
GJ 163 d,603.95116
GJ 180 b,17.133
GJ 180 c,24.329
GJ 180 d,106.3
GJ 3138 b,1.22003
GJ 3138 c,5.974
GJ 3138 d,257.8
GJ 317 b,695.66
GJ 317 c,6739.323
GJ 3293 b,30.5987
GJ 3293 c,122.6196
GJ 3293 d,48.1345
GJ 3293 e,13.2543
GJ 3998 b,2.64977
GJ 3998 c,13.74
GJ 414 A b,50.8
GJ 414 A c,749.83
GJ 433 b,7.3705
GJ 433 c,5094.105
GJ 433 d,36.059
GJ 581 b,5.3686
GJ 581 c,12.914
GJ 581 e,3.149
GJ 676 A b,1056.80005
GJ 676 A c,7337.0
GJ 676 A d,3.6005
GJ 676 A e,35.39
GJ 687 b,38.142
GJ 687 c,727.562
GJ 876 b,61.1166
GJ 876 c,30.0881
GJ 876 d,1.93778
GJ 876 e,124.26
GJ 887 b,9.262
GJ 887 c,21.789
GJ 9066 b,241.883
GJ 9066 c,767.887
HD 10180 c,5.75969
HD 10180 d,16.357
HD 10180 e,49.748
HD 10180 f,122.744
HD 10180 g,604.67
HD 10180 h,2205.0
HD 102329 b,778.09998
HD 102329 c,1123.0
HD 108874 b,394.48123
HD 108874 c,1624.0
HD 109271 b,7.8543
HD 109271 c,30.93
HD 113538 b,663.2
HD 113538 c,1818.0
HD 114783 b,493.7
HD 114783 c,4319.0
HD 116029 b,670.0
HD 116029 c,907.0
HD 11964 b,1945.0
HD 11964 c,37.91
HD 125612 b,557.04
HD 125612 c,4.15514
HD 125612 d,2835.0
HD 12661 b,262.70862
HD 12661 c,1708.0
HD 128311 b,453.019
HD 128311 c,921.538
HD 134987 b,258.17999
HD 134987 c,5000.0
HD 136352 b,11.57779
HD 136352 c,27.5909
HD 136352 d,107.63
HD 13808 b,14.1815
HD 13808 c,53.753
HD 13908 b,19.382
HD 13908 c,931.0
HD 141399 b,94.44
HD 141399 c,201.99
HD 141399 d,1069.8
HD 141399 e,5000.0
HD 142 b,349.7
HD 142 c,6005.0
HD 147018 b,44.236
HD 147018 c,1008.0
HD 147873 b,116.596
HD 147873 c,491.54
HD 154857 b,408.60001
HD 154857 c,3452.0
HD 155358 b,194.3
HD 155358 c,391.9
HD 156279 b,131.05
HD 156279 c,4191.0
HD 158259 b,2.178
HD 158259 c,3.432
HD 158259 d,5.1980814
HD 158259 e,7.951
HD 158259 f,12.028
HD 159243 b,12.62
HD 159243 c,248.4
HD 160691 b,643.25
HD 160691 c,4205.8
HD 160691 d,9.6386
HD 160691 e,310.55
HD 164922 b,1207.0
HD 164922 c,75.74
HD 164922 d,12.458
HD 168443 b,58.11247
HD 176986 b,6.4898
HD 176986 c,16.8191
HD 177830 b,410.10001
HD 177830 c,110.9
HD 181433 b,9.3743
HD 181433 c,962.0
HD 181433 d,2172.0
HD 183263 b,626.51599
HD 183263 c,3070.0
HD 187123 b,3.0965828
HD 187123 c,3810.0
HD 190360 b,2915.03687
HD 190360 c,17.111
HD 202696 b,517.8
HD 202696 c,946.6
HD 204313 b,1920.09998
HD 204313 c,34.905
HD 20781 b,5.3135
HD 20781 c,13.8905
HD 20781 d,29.158
HD 20781 e,85.5073
HD 20794 b,18.315
HD 20794 c,40.114
HD 20794 d,90.309
HD 20794 e,147.02
HD 215152 b,5.75999
HD 215152 c,7.28243
HD 215152 d,10.86499
HD 215152 e,25.1967
HD 215497 b,3.93404
HD 215497 c,567.94
HD 216520 b,35.45
HD 216520 c,154.43
HD 217107 b,7.12682
HD 217107 c,4270.0
HD 219134 b,3.092926
HD 219134 c,6.76458
HD 219134 d,46.859
HD 219134 g,94.2
HD 219134 h,2247.0
HD 27894 b,18.02
HD 27894 c,36.07
HD 27894 d,5174.0
HD 30177 b,2527.83
HD 30177 c,11613.0
HD 31527 b,16.5535
HD 31527 c,51.2053
HD 31527 d,271.6737
HD 33142 b,326.0
HD 33142 c,834.0
HD 33844 b,551.40002
HD 33844 c,916.0
HD 34445 b,1049.0
HD 34445 c,214.67
HD 34445 d,117.87
HD 34445 e,49.175
HD 34445 f,676.8
HD 34445 g,5700.0
HD 37124 b,154.378
HD 37124 c,885.5
HD 37124 d,1862.0
HD 40307 b,4.3123
HD 40307 c,9.6184
HD 40307 d,20.432
HD 40307 f,51.76
HD 4203 b,431.88
HD 4203 c,6700.0
HD 45364 b,226.93
HD 45364 c,342.85
HD 47186 b,4.0845
HD 47186 c,1353.6
HD 4732 b,360.2
HD 4732 c,2732.0
HD 47366 b,359.15
HD 47366 c,682.85
HD 50499 b,2447.1
HD 50499 c,8619.9
HD 60532 b,201.9
HD 60532 c,600.1
HD 67087 b,352.2
HD 67087 c,2374.0
HD 69830 b,8.667
HD 69830 c,31.56
HD 69830 d,197.0
HD 73526 b,188.3
HD 73526 c,379.1
HD 74156 b,51.645
HD 74156 c,2473.0
HD 7924 b,5.39792
HD 7924 c,15.299
HD 7924 d,24.451
HD 82943 b,441.47
HD 82943 c,220.078
HD 92788 b,325.803
HD 92788 c,11611.2975
HD 99706 b,841.0
HD 99706 c,1278.0
HIP 14810 b,6.673892
HIP 14810 c,147.747
HIP 14810 d,981.8
HIP 38594 b,60.722
HIP 38594 c,3477.768
HIP 5158 b,345.72
HIP 54373 b,7.76
HIP 54373 c,15.144
HIP 57274 b,8.1352
HIP 57274 c,32.03
HIP 57274 d,431.7
HIP 65407 b,28.125
HIP 65407 c,67.3
HIP 67851 b,88.9
HIP 67851 c,2131.8
Pr0211 b,2.1461
Pr0211 c,4850.0
TYC 1422-614-1 b,198.4
TYC 1422-614-1 c,559.3
Teegarden's Star b,4.91
Teegarden's Star c,11.409
Wolf 1061 b,4.8869
Wolf 1061 c,17.8719
Wolf 1061 d,217.21
XO-2 S b,18.157
XO-2 S c,120.8
YZ Cet b,1.96876
YZ Cet c,3.06008
YZ Cet d,4.65627
gam Lib b,415.2
gam Lib c,964.6
tau Cet e,162.87
tau Cet f,636.13
tau Cet g,20.0
tau Cet h,49.41
ups And b,4.617033
ups And c,241.258
ups And d,1276.46
CoRoT-24 b,5.1134
CoRoT-24 c,11.759
EPIC 212737443 b,13.603
EPIC 212737443 c,65.55
EPIC 220674823 b,0.571331
EPIC 220674823 c,13.339079
EPIC 249893012 b,3.5951
EPIC 249893012 c,15.624
EPIC 249893012 d,35.747
GJ 143 b,35.61253
HD 21749 c,7.78993
GJ 9827 b,1.2089819
GJ 9827 c,3.6480957
GJ 9827 d,6.2014698
HD 106315 b,9.55237
HD 106315 c,21.05704
HD 108236 b,3.795963
HD 108236 c,6.203449
HD 108236 d,14.175685
HD 108236 e,19.590025
HD 108236 f,29.54115
HD 15337 b,4.75615
HD 15337 c,17.1784
HD 191939 b,8.880403
HD 191939 c,28.58059
HD 191939 d,38.3561
HD 23472 b,17.667
HD 23472 c,29.625
HD 3167 b,0.959624
HD 3167 c,29.83832
HD 63433 b,7.10793
HD 63433 c,20.5453
HIP 41378 b,15.572098
HIP 41378 c,31.70648
HIP 41378 d,1114.0
HIP 41378 e,131.0
HIP 41378 f,1084.0
HR 858 b,3.58599
HR 858 c,5.97293
HR 858 d,11.23
K2-117 b,1.2916
K2-117 c,5.444017
K2-133 b,3.07133
K2-133 c,4.86784
K2-133 d,11.02454
K2-133 e,26.5841
K2-136 b,7.975292
K2-136 c,17.307137
K2-136 d,25.575065
K2-138 b,2.35309
K2-138 c,3.56004
K2-138 d,5.40479
K2-138 e,8.26146
K2-138 f,12.75758
K2-138 g,41.96797
K2-141 b,0.2803244
K2-141 c,7.7485
K2-146 b,2.6446
K2-146 c,4.00498
K2-148 b,4.38395
K2-148 c,6.9226
K2-148 d,9.7579
K2-154 b,3.67626
K2-154 c,7.95486
K2-155 b,6.342
K2-155 c,13.85
K2-155 d,40.718
K2-158 b,10.06049
K2-158 c,5.90279
EPIC 201754305 d,2.71578
K2-16 b,7.6188
K2-16 c,19.07863
K2-165 b,2.354992
K2-165 c,4.382745
K2-165 d,14.101361
EPIC 201615463 c,3.80464
K2-166 b,8.52695
EPIC 205950854 c,8.050722
K2-168 b,15.8523
K2-170 b,7.576544
K2-170 c,12.400047
K2-172 b,14.316941
K2-172 c,29.62682
K2-183 b,0.469269
K2-183 c,10.792635
K2-183 d,22.631964
K2-187 b,0.77392
K2-187 c,2.872042
K2-187 d,7.14921
K2-187 e,13.609878
K2-188 b,1.742169
K2-188 c,7.810253
K2-189 b,2.588309
K2-189 c,6.679195
K2-19 b,7.9194
K2-19 c,11.90715
K2-19 d,2.50856
K2-190 b,10.098858
K2-190 c,21.574023
K2-195 b,15.852975
K2-195 c,28.482786
K2-198 b,17.0428683
K2-198 c,3.3596055
K2-198 d,7.4500177
K2-199 b,3.225338
K2-199 c,7.374694
