#@string,ra,dec
TARGET,RA,DEC
11 Com,0.1856063,-0.0316045
11 UMi,0.3257610,-0.0628488
14 And,0.3620995,-0.1281712
14 Her,0.7744866,-0.1707293
16 Cyg B,1.0465696,-0.1932580
18 Del,1.5836771,-0.2820782
24 Boo,10.8027515,-0.2844389
24 Sex,100.0073683,-0.2991544
30 Ari B,100.1951714,-0.3934357
4 UMa,100.5712467,-0.4303594
42 Dra,100.7656871,-0.4641252
47 UMa,100.8480137,-0.5177539
51 Peg,100.9561682,-0.5393421
55 Cnc,101.0526207,-0.6727861
6 Lyn,101.1149223,-0.6968794
61 Vir,101.1275033,-0.7370663
7 CMa,101.2772396,-0.8657574
70 Vir,101.3948048,-0.9023998
75 Cet,101.9225430,-0.9072100
8 UMi,101.9942455,-1.0350269
81 Cet,102.0798591,-1.0630076
91 Aqr,102.1946233,-1.0658550
AU Mic,102.7211432,-1.0760033
BD+03 2562,102.8474248,-1.1114790
BD+14 4559,102.8773483,-1.1606000
BD+15 2375,103.0080750,-1.1609171
BD+15 2940,103.4242023,-1.1636019
BD+20 2457,103.5173558,-1.1891827
BD+20 274,103.6782730,-1.1958844
BD+20 594,103.7002499,-1.1963955
BD+48 738,103.7137102,-1.1984418
BD+48 740,105.0746449,-1.2522989
BD+49 828,107.6002312,-1.2853435
BD-06 1339,107.7847232,-1.2964437
BD-08 2823,108.0194945,-1.4551364
BD-10 3166,108.0622029,-1.5297610
BD-11 4672,108.3014090,-1.5686323
BD-13 2130,108.4523991,-1.5799849
BD-17 63,108.8251171,-1.5909138
CI Tau,109.0449329,-1.7740582
CoRoT-1,109.1045212,-1.8344301
CoRoT-10,11.1125532,-1.8778254
CoRoT-11,11.1652594,-1.9532879
CoRoT-12,11.1722288,-1.9827874
CoRoT-13,11.2486320,-10.0605942
CoRoT-14,11.2564264,-10.0692793
CoRoT-16,11.2983678,-10.0849917
CoRoT-17,11.4181301,-10.1462141
CoRoT-18,11.4802354,-10.2434693
CoRoT-19,11.6996481,-10.2820915
CoRoT-2,110.1685157,-10.2913450
CoRoT-20,110.3880285,-10.4130071
CoRoT-21,110.5126861,-10.4246208
CoRoT-22,111.5095293,-10.4886817
CoRoT-23,111.8520910,-10.5510754
CoRoT-24,111.9164295,-10.5673649
CoRoT-25,112.4192251,-10.6303217
CoRoT-26,112.9518629,-10.6754686
CoRoT-27,112.9654210,-10.7115362
CoRoT-28,113.1842383,-10.7250799
CoRoT-29,113.5130656,-10.7704227
CoRoT-3,113.7582526,-10.8497391
CoRoT-30,114.2833819,-10.8625468
CoRoT-31,114.2884692,-10.8980242
CoRoT-4,114.6201698,-10.9261373
CoRoT-5,114.8406393,-10.9764226
CoRoT-6,116.3288240,-11.0093342
CoRoT-7,116.7163868,-11.0337221
CoRoT-8,116.9582617,-11.0449410
CoRoT-9,117.0267691,-11.2353401
CoRoTID 223977153,117.0309753,-11.4286687
DMPP-1,117.4149764,-11.5009889
DMPP-2,117.4793699,-11.5563527
DMPP-3 A,117.9825560,-11.5793181
DS Tuc A,118.0634379,-11.5889878
EPIC 201170410,118.4209646,-11.6215204
EPIC 201238110,118.4831501,-11.6370481
EPIC 201497682,118.5439118,-11.7178010
EPIC 201757695,119.7735021,-11.9229757
EPIC 201841433,12.3085089,-11.9382645
EPIC 206024342,12.4161652,-12.0190670
EPIC 206032309,12.5467785,-12.0663429
EPIC 206042996,12.7700071,-12.0848643
EPIC 206215704,12.7736909,-12.1079951
EPIC 206317286,12.7762624,-12.1302976
EPIC 211822797,12.8096130,-12.1874776
EPIC 211945201,12.8452963,-12.2849182
EPIC 212297394,12.8875757,-12.5569819
EPIC 212424622,120.5662825,-12.6364246
EPIC 212499991,120.5936065,-12.6676866
EPIC 212587672,120.6116787,-12.7347749
EPIC 212737443,120.8691654,-12.8066737
EPIC 220674823,121.3474609,-12.9276648
EPIC 246851721,121.9155672,-12.9447683
EPIC 248847494,123.2507030,-12.9856593
EPIC 249893012,123.3818484,-13.1608686
G 9-40,123.3922465,-13.3996231
GJ 1061,123.9498431,-13.4288624
GJ 1132,124.1286379,-13.4333821
GJ 1148,124.5328604,-13.5595485
GJ 1151,124.5935429,-13.5600447
GJ 1214,124.6010091,-13.5769705
GJ 1252,124.6067582,-13.6101475
GJ 1265,125.0071770,-13.7318044
GJ 143,125.2239144,-13.9011223
GJ 15 A,125.3661079,-13.9066703
GJ 160.2,125.4202985,-13.9863374
GJ 163,125.6174070,-14.0277270
GJ 179,125.7079153,-14.0498570
GJ 180,125.9528309,-14.0684399
