pl_name,hostname,gaia_id,sy_snum,sy_pnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_facility,disc_telescope,disc_instrument,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,st_nphot,st_nrvc,st_refname,system_type
11 Com b,11 Com,Gaia DR2 3946945413106333696,2,1,0,Radial Velocity,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,0,326.03000000,0.32000000,-0.32000000,0,12.100,,,0,1.080,,,0,6165.60000,476.70000,-476.70000,0,19.40000,1.50000,-1.50000,0,Msini,0.231000,0.005000,-0.005000,0,0,,,,,302.800,2.600,-2.600,0,G8 III,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,-0.350,0.090,-0.090,0,[Fe/H],2.31,0.10,-0.10,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,1.9238000,-1.9238000,10.7104000,0.2197390,-0.2197390,4.7230700,0.0230000,-0.0230000,2.2820000,0.3460000,-0.3460000,4.4403800,0.0038479,-0.0038479,,,,1,2,,Radial Velocity
11 UMi b,11 UMi,Gaia DR2 1696798367260229376,1,1,0,Radial Velocity,2009,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,516.21997000,3.20000000,-3.20000000,0,12.300,,,0,1.090,,,0,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,Msini,0.080000,0.030000,-0.030000,0,0,,,,,189.700,7.200,-7.200,0,K4 III,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.020,,,0,[Fe/H],1.93,0.07,-0.07,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,1.9765000,-1.9765000,7.9538800,0.1248570,-0.1248570,5.0130000,0.0050000,-0.0050000,1.9390000,0.2700000,-0.2700000,4.5621600,0.0039035,-0.0039035,,,,1,1,,Radial Velocity
14 And b,14 And,Gaia DR2 1920113512486282240,1,1,0,Radial Velocity,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,185.84000000,0.23000000,-0.23000000,0,12.900,,,0,1.150,,,0,1525.50000,,,0,4.80000,,,0,Msini,0.000000,,,0,0,,,,,100.000,1.300,-1.300,0,K0 III,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,-0.240,0.030,-0.030,0,[Fe/H],2.63,0.07,-0.07,0,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,0.7140000,-0.7140000,13.2289000,0.1245010,-0.1245010,5.2313300,0.0230000,-0.0230000,2.3310000,0.2400000,-0.2400000,4.9178100,0.0028262,-0.0028262,,,,1,1,,Radial Velocity
14 Her b,14 Her,Gaia DR2 1385293808145621504,1,1,0,Radial Velocity,2002,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,0,1773.40002000,2.50000000,-2.50000000,0,12.900,,,0,1.150,,,0,1481.08780,47.67450,-47.67450,0,4.66000,0.15000,-0.15000,0,Msini,0.370000,0.000000,0.000000,0,0,,,,,90.000,0.500,-0.500,0,K0 V,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.90,0.04,-0.04,0,0.410,,,0,[Fe/H],4.45,0.02,-0.02,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,0.0073000,-0.0073000,55.7363000,0.0225960,-0.0225960,6.6193500,0.0230000,-0.0230000,4.7140000,0.0160000,-0.0160000,6.3830000,0.0003512,-0.0003512,,,,1,4,,Radial Velocity
16 Cyg B b,16 Cyg B,Gaia DR2 2135550755683407232,3,1,0,Radial Velocity,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,798.50000000,1.00000000,-1.00000000,0,13.500,,,0,1.200,,,0,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0,Msini,0.680000,0.020000,-0.020000,0,0,,,,,50.500,1.600,-1.600,0,G3 V,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.060,,,0,[Fe/H],4.36,0.01,-0.01,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,0.0110000,-0.0111000,47.2754000,0.0245316,-0.0245316,6.2150000,0.0160000,-0.0160000,4.6510000,0.0160000,-0.0160000,6.0642800,0.0006029,-0.0006029,6.095,,,1,4,,Radial Velocity
24 Boo b,24 Boo,Gaia DR2 1603662211901473408,1,1,0,Radial Velocity,2018,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,30.35060000,0.00780000,-0.00770000,0,13.900,,,0,1.240,,,0,289.22530,41.31790,-31.78300,0,0.91000,0.13000,-0.10000,0,Msini,0.042000,0.048000,-0.029000,0,0,,,,,59.900,3.300,-3.200,0,G3 IV,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,-0.770,0.030,-0.030,0,[Fe/H],2.42,0.10,-0.10,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,0.6368500,-0.6368500,10.3900000,0.0685994,-0.0685994,5.5900000,0.0010000,-0.0010000,3.1590000,0.2800000,-0.2800000,5.3339000,0.0019998,-0.0019998,,,,1,0,,Radial Velocity
24 Sex b,24 Sex,Gaia DR2 3830897080395058048,1,2,0,Radial Velocity,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,452.80000000,2.10000000,-4.50000000,0,13.400,,,0,1.190,,,0,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0,Msini,0.090000,0.140000,-0.060000,0,0,,,,,40.000,4.900,-7.800,0,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],3.50,0.10,-0.10,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,13.8488000,0.1297560,-0.1297560,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976,,,,1,2,,Radial Velocity
24 Sex c,24 Sex,Gaia DR2 3830897080395058048,1,2,0,Radial Velocity,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,883.00000000,32.40000000,-13.80000000,0,13.900,,,0,1.240,,,0,273.32000,111.24000,-69.92000,0,0.86000,0.35000,-0.22000,0,Msini,0.290000,0.160000,-0.090000,0,0,,,,,14.500,7.500,-3.600,0,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],3.50,0.10,-0.10,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,13.8488000,0.1297560,-0.1297560,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976,,,,1,2,,Radial Velocity
30 Ari B b,30 Ari B,Gaia DR2 102082477749475200,4,1,0,Radial Velocity,2009,<a refstr=GUENTHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...507.1659G/abstract target=ref> Guenther et al. 2009 </a>,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,335.10001000,2.50000000,-2.50000000,0,12.300,,,0,1.100,,,0,4392.41060,572.09400,-572.09400,0,13.82000,1.80000,-1.80000,0,Msini,0.290000,0.090000,-0.090000,0,0,,,,,272.000,24.000,-24.000,0,F6 V,6331.00,61.00,-61.00,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,0.190,,,0,[Fe/H],4.43,0.05,-0.05,0,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000,0.1039000,-0.1034000,22.3641000,0.0515806,-0.0515806,7.0920900,0.0230000,-0.0230000,5.8220000,0.0210000,-0.0210000,6.9608500,0.0005120,-0.0005120,,,,1,1,,Radial Velocity
4 UMa b,4 UMa,Gaia DR2 1092230803510960640,1,1,0,Radial Velocity,2006,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,269.30000000,1.96000000,-1.96000000,0,12.700,,,0,1.130,,,0,2256.50000,508.50000,-508.50000,0,7.10000,1.60000,-1.60000,0,Msini,0.432000,0.024000,-0.024000,0,0,,,,,215.550,7.100,-7.100,0,K1 III,4415.00,70.00,-70.00,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,-0.250,0.040,-0.040,0,[Fe/H],1.80,0.15,-0.15,0,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000,1.1860500,-1.1860500,13.5901000,0.2180580,-0.2180580,4.5801000,0.0230000,-0.0230000,1.7340000,0.2180000,-0.2180000,4.2377300,0.0047288,-0.0047288,,,,1,0,,Radial Velocity
