#@string,ra,dec
TARGET,RA,DEC
47 UMa,164.8647611,40.4304931
55 Cnc,133.1468373,28.3298154
61 Vir,199.5964550,-18.3157745
DMPP-1,86.7761233,-10.6303217
GJ 1061,54.0032486,-44.5143104
GJ 163,62.3228353,-53.3711768
GJ 180,73.4600970,-17.7761940
GJ 3138,32.2977385,-16.3392495
GJ 3293,67.1484425,-25.1713396
GJ 433,173.8619194,-32.5436302
GJ 581,229.8564725,-7.7226935
GJ 676 A,262.5448903,-51.6377777
GJ 876,343.3239737,-14.2665958
HD 10180,24.4731133,-60.5114881
HD 125612,215.2227183,-17.4818147
HD 136352,230.4401147,-48.3188174
HD 141399,236.7235392,46.9862880
HD 158259,261.3495847,52.7904721
HD 160691,266.0361585,-51.8348751
HD 164922,270.6304652,26.3104077
HD 181433,291.2873731,-66.4677838
HD 20781,50.0139757,-28.7841175
HD 20794,49.9997666,-43.0666533
HD 215152,340.8380941,-6.4020685
HD 219134,348.3372026,57.1696255
HD 27894,65.1975693,-59.4096776
HD 31527,73.9096193,-23.2413163
HD 34445,79.4207483,7.3527156
HD 37124,84.2599947,20.7289784
HD 40307,88.5172191,-60.0237289
HD 69830,124.6010091,-12.6364246
HD 7924,20.4956562,76.7101475
HIP 14810,47.8092750,21.0971302
HIP 57274,176.1705487,30.9576484
Wolf 1061,247.5748276,-12.6676866
YZ Cet,18.1330792,-16.9962434
tau Cet,26.0093029,-15.9337987
ups And,24.1983534,41.4038147
