hostname,st_teff,st_tefferr1,st_tefferr2,st_teff_ref,st_rad,st_raderr1,st_raderr2,st_rad_ref,st_mass,st_masserr1,st_masserr2,st_mass_ref
47 UMa,5882.0,44.0,-10.0,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,1.21,0.04,-0.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1.06,0.03,-0.01,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>
55 Cnc,5172.0,18.0,-10.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.94,0.01,-0.01,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.91,0.01,-0.01,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>
61 Vir,5577.0,33.0,-10.0,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,0.96,0.01,-0.01,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,0.94,0.03,-0.01,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
DMPP-1,6196.0,29.0,-10.0,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,1.26,0.02,-0.01,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,1.21,0.03,-0.01,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>
GJ 1061,2953.0,98.0,-10.0,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,0.16,0.01,-0.01,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,0.12,0.01,-0.01,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>
GJ 163,3500.0,100.0,-10.0,Tuomi+ 2013,0.41,0.01,-0.01,TICv8,0.4,0.02,-0.01,Tuomi+ 2013
GJ 180,3572.0,51.0,-10.0,Schweitzer+ 2019,0.41,0.01,-0.01,Schweitzer+ 2019,0.41,0.02,-0.01,Schweitzer+ 2019
GJ 3138,3717.0,49.0,-10.0,Astudillo-Defru+ 2017,0.5,0.03,-0.01,Astudillo-Defru+ 2017,0.68,0.02,-0.01,Astudillo-Defru+ 2017
GJ 3293,3466.0,49.0,-10.0,Astudillo-Defru+ 2017,0.4,0.03,-0.01,Astudillo-Defru+ 2017,0.42,0.04,-0.01,Astudillo-Defru+ 2017
GJ 433,3461.0,150.0,-10.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.5,0.04,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.59,0.22,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
