Starname,Rp,Mp,P,Rs,Ms,Ms-Err,Detection Method,Source,System Detection Method
11 Com,,6165.639651707969,326.03000000,19.00,2.70,0.30,Radial Velocity,Exoarchive,Radial Velocity
11 UMi,,4684.614869390489,516.21997000,29.79,2.78,0.69,Radial Velocity,Exoarchive,Radial Velocity
14 And,,1525.5190890823842,185.84000000,11.00,2.20,0.10,Radial Velocity,Exoarchive,Radial Velocity
14 Her,,1481.0247823174816,1773.40002000,0.93,0.90,0.04,Radial Velocity,Exoarchive,Radial Velocity
16 Cyg B,,565.7133288680509,798.50000000,1.13,1.08,0.04,Radial Velocity,Exoarchive,Radial Velocity
18 Del,,3273.5097119892835,993.30000000,8.50,2.30,,Radial Velocity,Exoarchive,Radial Velocity
1RXS J160929.1-210524,,2542.531815137307,,,0.85,0.20,Imaging,Exoarchive,Imaging
24 Boo,,289.21299397186874,30.35060000,10.64,0.99,0.19,Radial Velocity,Exoarchive,Radial Velocity
24 Sex,,632.4547890154053,452.80000000,4.90,1.54,0.08,Radial Velocity,Exoarchive,Radial Velocity
24 Sex,,273.3221701272605,883.00000000,4.90,1.54,0.08,Radial Velocity,Exoarchive,Radial Velocity
2MASS J01225093-2439505,,7786.503683858004,,,0.40,0.05,Imaging,Exoarchive,Imaging
2MASS J02192210-3925225,15.801575890754984,4417.649028801072,,0.28,0.11,0.01,Imaging,Exoarchive,Imaging
2MASS J04414489+2301513,,2383.6235766912255,,,0.02,,Imaging,Exoarchive,Imaging
2MASS J12073346-3932539,,1271.2659075686536,,,0.02,,Imaging,Exoarchive,Imaging
2MASS J19383260+4603591,,603.8513060951104,416.00000000,,0.48,0.03,Eclipse Timing Variations,Exoarchive,Eclipse Timing Variations
2MASS J21402931+1625183 A,10.095451263537907,6658.255190890823,7336.50000000,0.12,0.08,0.06,Imaging,Exoarchive,Imaging
2MASS J22362452+4751425,,3972.705961152042,,,0.60,0.05,Imaging,Exoarchive,Imaging
30 Ari B,,4392.223710649698,335.10001000,1.41,1.93,0.27,Radial Velocity,Exoarchive,Radial Velocity
4 UMa,,2256.49698593436,269.30000000,18.11,1.23,0.15,Radial Velocity,Exoarchive,Radial Velocity
42 Dra,,1233.127930341594,479.10000000,22.03,0.98,0.05,Radial Velocity,Exoarchive,Radial Velocity
47 UMa,,804.0756865371733,1078.00000000,1.23,1.03,0.05,Radial Velocity,Exoarchive,Radial Velocity
47 UMa,,171.62089752176826,2391.00000000,1.23,1.03,0.05,Radial Velocity,Exoarchive,Radial Velocity
47 UMa,,521.219022103148,14002.00000000,1.23,1.03,0.05,Radial Velocity,Exoarchive,Radial Velocity
51 Eri,,,11688.00000000,,1.75,0.05,Imaging,Exoarchive,Imaging
51 Peg,,150.00937709310114,4.23078500,1.20,1.12,0.06,Radial Velocity,Exoarchive,Radial Velocity
55 Cnc,,263.97836570663094,14.65152000,0.94,0.91,0.01,Radial Velocity,Exoarchive,Radial Velocity
55 Cnc,,54.473744139316814,44.41750000,0.94,0.91,0.01,Radial Velocity,Exoarchive,Radial Velocity
55 Cnc,,1232.4922973878097,4825.00000000,0.94,0.91,0.01,Radial Velocity,Exoarchive,Radial Velocity
