kepid,ra,ra_err,dec,dec_err,ra_str,dec_str,kepoi_name,kepler_name,alt_name,tm_designation,koi_list_flag,last_update
10978763,293.351720,0.000000,48.444641,0.000000,19h33m24.41s,+48d26m40.7s,K01931.02,Kepler-339 d,Kepler-339 d,2MASS J19332441+4826407,YES,2014-02-26
5202905,295.933470,0.000000,40.300571,0.000000,19h43m44.03s,+40d18m02.1s,K01932.02,Kepler-340 b,Kepler-340 b,2MASS J19434403+4018020,YES,2014-02-26
5202905,295.933470,0.000000,40.300571,0.000000,19h43m44.03s,+40d18m02.1s,K01932.01,Kepler-340 c,Kepler-340 c,2MASS J19434403+4018020,YES,2014-02-26
7747425,289.861570,0.000000,43.472771,0.000000,19h19m26.78s,+43d28m22.0s,K01952.03,Kepler-341 b,Kepler-341 b,2MASS J19192677+4328219,YES,2014-02-26
7747425,289.861570,0.000000,43.472771,0.000000,19h19m26.78s,+43d28m22.0s,K01952.01,Kepler-341 c,Kepler-341 c,2MASS J19192677+4328219,YES,2014-02-26
7747425,289.861570,0.000000,43.472771,0.000000,19h19m26.78s,+43d28m22.0s,K01952.02,Kepler-341 d,Kepler-341 d,2MASS J19192677+4328219,YES,2014-02-26
7747425,289.861570,0.000000,43.472771,0.000000,19h19m26.78s,+43d28m22.0s,K01952.04,Kepler-341 e,Kepler-341 e,2MASS J19192677+4328219,YES,2014-02-26
9892816,292.678070,0.000000,46.726711,0.000000,19h30m42.74s,+46d43m36.2s,K01955.01,Kepler-342 b,Kepler-342 b,2MASS J19304273+4643361,YES,2014-02-26
9892816,292.678070,0.000000,46.726711,0.000000,19h30m42.74s,+46d43m36.2s,K01955.04,Kepler-342 c,Kepler-342 c,2MASS J19304273+4643361,YES,2014-02-26
9892816,292.678070,0.000000,46.726711,0.000000,19h30m42.74s,+46d43m36.2s,K01955.02,Kepler-342 d,Kepler-342 d,2MASS J19304273+4643361,YES,2014-02-26
6949061,291.960690,0.000000,42.433010,0.000000,19h27m50.57s,+42d25m58.8s,K01960.01,Kepler-343 b,Kepler-343 b,2MASS J19275056+4225588,YES,2014-02-26
6949061,291.960690,0.000000,42.433010,0.000000,19h27m50.57s,+42d25m58.8s,K01960.02,Kepler-343 c,Kepler-343 c,2MASS J19275056+4225588,YES,2014-02-26
9650808,292.499630,0.000000,46.324409,0.000000,19h29m59.91s,+46d19m27.9s,K01970.01,Kepler-344 b,Kepler-344 b,2MASS J19295991+4619278,YES,2014-02-26
9650808,292.499630,0.000000,46.324409,0.000000,19h29m59.91s,+46d19m27.9s,K01970.02,Kepler-344 c,Kepler-344 c,2MASS J19295991+4619278,YES,2014-02-26
9412760,295.228790,0.000000,45.971020,0.000000,19h40m54.91s,+45d58m15.7s,K01977.02,Kepler-345 b,Kepler-345 b,2MASS J19405491+4558156,YES,2014-02-26
9412760,295.228790,0.000000,45.971020,0.000000,19h40m54.91s,+45d58m15.7s,K01977.01,Kepler-345 c,Kepler-345 c,2MASS J19405491+4558156,YES,2014-02-26
9518318,288.011900,0.000000,46.117611,0.000000,19h12m02.86s,+46d07m03.4s,K01978.01,Kepler-346 b,Kepler-346 b,2MASS J19120285+4607033,YES,2014-02-26
9518318,288.011900,0.000000,46.117611,0.000000,19h12m02.86s,+46d07m03.4s,K01978.02,Kepler-346 c,Kepler-346 c,2MASS J19120285+4607033,YES,2014-02-26
11450414,289.199580,0.000000,49.305721,0.000000,19h16m47.90s,+49d18m20.6s,K01992.01,Kepler-347 b,Kepler-347 b,2MASS J19164790+4918205,YES,2014-02-26
11450414,289.199580,0.000000,49.305721,0.000000,19h16m47.90s,+49d18m20.6s,K01992.02,Kepler-347 c,Kepler-347 c,2MASS J19164790+4918205,YES,2014-02-26
5384079,297.255040,0.000000,40.548370,0.000000,19h49m01.21s,+40d32m54.1s,K02011.01,Kepler-348 b,Kepler-348 b,2MASS J19490121+4032541,YES,2014-02-26
