starname,rp,rp_err1,rp_err2,mp,mp_err1,mp_err2,ror,ror_err1,ror_err2,rs,rs_err1,rs_err2,ms,ms_err1,ms_err2,p,disc_method,temp,mag,ref,instrument,system_disc_method
11 Com,,,,6165.60000,476.70000,-476.70000,,,,19.00,2.00,-2.00,2.70,0.30,-0.30,326.03000000,Radial Velocity,4742.00,4.7230700,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,Xinglong Station,Radial Velocity
11 UMi,,,,4684.81420,794.57500,-794.57500,,,,29.79,2.84,-2.84,2.78,0.69,-0.69,516.21997000,Radial Velocity,4213.00,5.0130000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Thueringer Landessternwarte Tautenburg,Radial Velocity
14 And,,,,1525.50000,,,,,,11.00,1.00,-1.00,2.20,0.10,-0.20,185.84000000,Radial Velocity,4813.00,5.2313300,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,Radial Velocity
14 Her,,,,1481.08780,47.67450,-47.67450,,,,0.93,0.01,-0.01,0.90,0.04,-0.04,1773.40002000,Radial Velocity,5338.00,6.6193500,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,W. M. Keck Observatory,Radial Velocity
16 Cyg B,,,,565.73740,25.42640,-25.42640,,,,1.13,0.01,-0.01,1.08,0.04,-0.04,798.50000000,Radial Velocity,5750.00,6.2150000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Multiple Observatories,Radial Velocity
18 Del,,,,3273.50000,,,,,,8.50,,,2.30,,,993.30000000,Radial Velocity,4979.00,5.5104800,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,Radial Velocity
24 Boo,,,,289.22530,41.31790,-31.78300,,,,10.64,0.84,-0.59,0.99,0.19,-0.13,30.35060000,Radial Velocity,4893.00,5.5900000,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,Okayama Astrophysical Observatory,Radial Velocity
24 Sex,,,,632.46000,82.63000,-120.77000,,,,4.90,0.08,-0.08,1.54,0.08,-0.08,452.80000000,Radial Velocity,5098.00,6.4535000,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Lick Observatory,Radial Velocity
24 Sex,,,,273.32000,111.24000,-69.92000,,,,4.90,0.08,-0.08,1.54,0.08,-0.08,883.00000000,Radial Velocity,5098.00,6.4535000,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Lick Observatory,Radial Velocity
30 Ari B,,,,4392.41060,572.09400,-572.09400,,,,1.41,0.05,-0.05,1.93,0.27,-0.27,335.10001000,Radial Velocity,6331.00,7.0920900,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Thueringer Landessternwarte Tautenburg,Radial Velocity
4 UMa,,,,2256.50000,508.50000,-508.50000,,,,18.11,1.47,-1.47,1.23,0.15,-0.15,269.30000000,Radial Velocity,4415.00,4.5801000,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,Thueringer Landessternwarte Tautenburg,Radial Velocity
42 Dra,,,,1233.13000,270.14000,-270.14000,,,,22.03,1.00,-1.00,0.98,0.05,-0.05,479.10000000,Radial Velocity,4200.00,4.8262000,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,Thueringer Landessternwarte Tautenburg,Radial Velocity
47 UMa,,,,804.08000,22.25000,-19.07000,,,,1.21,0.05,-0.05,1.06,0.13,-0.13,1078.00000000,Radial Velocity,5872.00,5.0335200,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,Lick Observatory,Radial Velocity
47 UMa,,,,171.62100,20.97600,-23.20100,,,,1.21,0.05,-0.05,1.06,0.13,-0.13,2391.00000000,Radial Velocity,5872.00,5.0335200,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,Lick Observatory,Radial Velocity
47 UMa,,,,521.22000,92.17000,-152.55000,,,,1.21,0.05,-0.05,1.06,0.13,-0.13,14002.00000000,Radial Velocity,5872.00,5.0335200,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,Lick Observatory,Radial Velocity
51 Peg,,,,150.00900,12.39500,-12.39500,,,,1.18,0.05,-0.05,1.03,0.13,-0.13,4.23078500,Radial Velocity,5758.00,5.4530900,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,Haute-Provence Observatory,Radial Velocity
55 Cnc,,,,263.97850,1.04880,-1.04880,,,,0.96,0.07,-0.07,0.95,,,14.65152000,Radial Velocity,,5.9508400,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,Lick Observatory,Radial Velocity
55 Cnc,,,,54.47380,1.74800,-1.74800,,,,0.96,0.07,-0.07,0.95,,,44.41750000,Radial Velocity,,5.9508400,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,McDonald Observatory,Radial Velocity
55 Cnc,,,,1232.49300,21.61200,-21.61200,,,,0.96,0.07,-0.07,0.95,,,4825.00000000,Radial Velocity,,5.9508400,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,Lick Observatory,Radial Velocity
55 Cnc,1.910,0.080,-0.080,8.08000,0.31000,-0.31000,0.01870,0.00070,-0.00070,0.96,0.07,-0.07,0.90,0.12,-0.12,0.73653900,Radial Velocity,5250.00,5.9508400,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,McDonald Observatory,Radial Velocity
55 Cnc,,,,44.81200,3.81400,-3.81400,,,,0.96,0.07,-0.07,0.95,,,262.00000000,Radial Velocity,,5.9508400,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,Multiple Observatories,Radial Velocity
6 Lyn,,,,638.83830,24.47291,-24.47291,,,,5.20,,,1.44,,,934.30000000,Radial Velocity,4938.00,5.8730700,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,Okayama Astrophysical Observatory,Radial Velocity
61 Vir,,,,5.10000,0.50000,-0.50000,,,,0.96,0.01,-0.01,0.94,0.03,-0.03,4.21500000,Radial Velocity,5577.00,4.6955000,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,Multiple Observatories,Radial Velocity
61 Vir,,,,18.20000,1.10000,-1.10000,,,,0.96,0.01,-0.01,0.94,0.03,-0.03,38.02100000,Radial Velocity,5577.00,4.6955000,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,Multiple Observatories,Radial Velocity
61 Vir,,,,22.90000,2.60000,-2.60000,,,,0.96,0.01,-0.01,0.94,0.03,-0.03,123.01000000,Radial Velocity,5577.00,4.6955000,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,Multiple Observatories,Radial Velocity
7 CMa,,,,587.98550,19.06980,-19.06980,,,,4.87,0.17,-0.14,1.34,0.11,-0.12,735.10000000,Radial Velocity,4826.00,3.9500000,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,Anglo-Australian Telescope,Radial Velocity
7 CMa,,,,276.51210,19.06980,-19.06980,,,,4.87,0.17,-0.14,1.34,0.11,-0.12,996.00000000,Radial Velocity,4826.00,3.9500000,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,Multiple Observatories,Radial Velocity
70 Vir,,,,2357.02728,18.11631,-18.11631,,,,1.89,,,1.09,,,116.68800000,Radial Velocity,5495.00,4.9680800,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,Lick Observatory,Radial Velocity
75 Cet,,,,953.49000,,,,,,10.50,1.00,-1.00,2.49,0.02,-0.27,691.90000000,Radial Velocity,4846.00,5.3532000,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64..135S/abstract target=ref> Sato et al. 2012 </a>,Okayama Astrophysical Observatory,Radial Velocity
8 UMi,,,,416.35730,50.85280,-50.85280,,,,10.30,0.57,-0.57,1.44,0.19,-0.19,93.40000000,Radial Velocity,4847.00,6.8329500,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Bohyunsan Optical Astronomical Observatory,Radial Velocity
81 Cet,,,,1684.40000,,,,,,11.00,2.00,-1.00,2.40,0.10,-0.40,952.70000000,Radial Velocity,4785.00,5.6430700,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Okayama Astrophysical Observatory,Radial Velocity
91 Aqr,,,,1017.00000,,,,,,11.00,0.10,-0.10,1.40,0.10,-0.10,181.40000000,Radial Velocity,4665.00,4.2394600,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,Lick Observatory,Radial Velocity
AU Mic,4.203,0.202,-0.202,57.20940,,,0.05140,0.00130,-0.00130,0.75,0.03,-0.03,0.50,0.03,-0.03,8.46321000,Transit,3700.00,8.8100000,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,Transiting Exoplanet Survey Satellite (TESS),Transit
BD+03 2562,,,,2034.11200,413.17900,-413.17900,,,,32.35,8.82,-8.82,1.14,0.25,-0.25,481.90000000,Radial Velocity,4095.00,9.5770000,<a refstr=VILLAVER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..38V/abstract target=ref>Villaver et al. 2017</a>,Multiple Observatories,Radial Velocity
BD+14 4559,,,,330.54320,149.38010,-149.38010,,,,0.86,0.04,-0.04,0.49,0.33,-0.33,268.94000000,Radial Velocity,4864.00,9.7800000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,McDonald Observatory,Radial Velocity
BD+15 2375,,,,337.21763,85.81410,-85.81410,,,,8.95,1.45,-1.45,1.08,0.14,-0.14,153.22000000,Radial Velocity,4649.00,10.4100000,<a refstr=NIEDZIELSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A..62N/abstract target=ref>Niedzielski et al. 2016</a>,Roque de los Muchachos Observatory,Radial Velocity
BD+15 2940,,,,352.78000,,,,,,14.70,2.80,-2.80,1.10,0.20,-0.20,137.48000000,Radial Velocity,4796.00,9.0100000,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,McDonald Observatory,Radial Velocity
BD+20 2457,,,,17668.16970,24965.54650,-24965.54650,,,,71.02,73.63,-73.63,10.83,22.96,-22.96,379.63000000,Radial Velocity,4259.00,9.7430000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,McDonald Observatory,Radial Velocity
BD+20 2457,,,,3963.17000,,,,,,49.00,26.00,-26.00,2.80,1.50,-1.50,621.99000000,Radial Velocity,4137.00,9.7430000,<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>,McDonald Observatory,Radial Velocity
